,ROOM TYPE>,ADMIT,AIRLOCK,ALCOVE,ANIMAL,ANTE.RM,ARCHIVE,ARMORY,AUDI,AUDI.S,AV.RM,BALANCE,BAR,BED.RM,BOOK.ST,CAGE.ST,CAGE.WA,CALLCTR,CASHIER,CHAPEL,CLASS,CLASS.S,CLEAN,CLINIC,COLD.RM,COMMON,COMPLAB,COMPTR,CONDO,CONF,CONSULT,CONTROL,COPY.RM,COURT,DANCE,DARK.RM,DECK,DET.RM,DINE.S,DINING,DRAFT,DRESS,DUBBING,EDTG.RM,ELV.LOB,EM.RM,EMP.SP,EQUIP,EXAM,EXHIBIT,FIELD,FILE.RM,FOYER,FREEZER,GAME,GARAGE,GIFT,GRN.RM,GYM,INCNTR,INFO,INST.RM,INTVIEW,JC,KIOSK,KIT.S,KITCHEN,LAB,LAB.OFF,LAB.S,LAUNDRY,LIB.S,LIBRARY,LIV.RM,LOAD.DK,LOBBY,LOCKER,LOUNGE,MAIL.RM,MORGUE,MUSEUM,OBSERV,OFFICE,OM*BOIL,OM*CHIL,OM*COM,OM*CORR,OM*ELEC,OM*ELEV,OM*EQ,OM*FAN,OM*FURN,OM*JC,OM*LOB,OM*MACH,OM*MECH,OM*RR,OM*STAI,OM*STO,OM*TELE,OM*VEST,ON.CALL,OR,PANTRY,PATIENT,PHARM,POOL,PORCH,PRACT,PREP.RM,PRIV.RM,PRNT.RM,PROC.RM,PROJECT,QUAR.RM,READ,REC.RM,RECEIVE,RECEP,RECORDS,RECOVER,RESI,RETAIL,RR,SAUNA,SCREEN,SCRUB,SEATS,SEMI,SHOP,SHOWER,SNACK,SOUND,STACK,STAGE,STATION,STERILE,STO,STOCK,STUDIO,STUDY,SUITE,SUPPLY,SURGERY,TAPING,TELE,TEST.RM,THEATER,THERAPY,TICKET,TOOL.RM,TRAIN,TRASH,TRASH.R,TREAT,TUTOR,UTILITY,VAULT,VENDING,VEST,VIDEO,VIVARIA,WAIT.RM,WARM.RM,WEIGHT,WORK.RM,XRAY,Grand Total
98,ESH,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,1695.0,2905.0,401.0,,,,,,,,,,111.0,,,,,2317.0,112.0,5455.0,,,,,,,,,,1442.0,,,,,,,,114.0,3576.0,,,124.0,,,,,5866.0,293.0,1085.0,,,,132.0,17823.0,,,,8182.0,1180.0,781.0,,,,328.0,289.0,,1728.0,1927.0,2866.0,,659.0,421.0,,,,,,,,,,67.0,,2474.0,,,105.0,,,1372.0,,,,,838.0,,,,,,,59.0,,,,,1706.0,326.0,4446.0,,,,,257.0,,,,,,456.0,,,411.0,,,194.0,,540.0,,,103.0,,,6435.0,,,2854.0,1377.0,85872.0
99,EVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3241.0
100,EVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899.0,,,129.0,,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4472.0
101,EVH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713.0,,5465.0,,,,,,678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7856.0
102,EVK,,,,,,,,,,,,,38204.0,,,,,,,,,,,,,,,,,,,,,,,,,661.0,892.0,,,,,,,,,,,,,,751.0,,,,,,,,,,,,1010.0,1348.0,,,,836.0,,,,,1426.0,,5017.0,275.0,,,,1027.0,945.0,,,,165.0,,165.0,229.0,,195.0,,135.0,1019.0,205.0,,19.0,130.0,,,,,,,,,,521.0,,,,,,,,,280.0,,,,,3307.0,,,,,,,851.0,214.0,,,,,,7729.0,,,,,,,,,,,,,,,79.0,,,,333.0,,,,,,,,,438.0,,68406.0
103,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340.0
104,EYB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7439.0
105,FEM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3211.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3211.0
106,FIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3873.0,,,,385.0,,,,,,43.0,,,,150.0,213.0,,18.0,103.0,,,406.0,,,,,,,,,,,,,,,286.0,,,,,,,,,,,,,,,,,,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,542.0,,,269.0,,6807.0
107,FLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
108,FLT,,,,,,,,,,,,,33446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,185.0,,,,629.0,,,13687.0,,1248.0,,4031.0,118.0,,,,551.0,,,,,199.0,,783.0,,,501.0,,,953.0,,74.0,,83.0,,,,,,,,,125.0,,,,,,,,,,105.0,,,,,5451.0,,,,,,,,,,,,,,519.0,297.0,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,143.0,,63286.0
109,FMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,2250.0,,,,151.0,,,,,,,,,,32.0,74.0,,3.0,,,,4.0,,,,,,,,,,,,,,,198.0,,,,,73.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,261.0,,,,,3690.0
110,FMT,,,,,,,,,,,,,5648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.0,,,,,,,,,,,,1713.0,,,,174.0,,,6245.0,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3034.0,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,966.0,,,,,,,,18691.0
111,FPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,141.0,763.0,,,,,4139.0,,,,,,,,,,23.0,,,,480.0,,,40.0,71.0,,,,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6262.0
112,FRE,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,308.0,,,,,,,,,,,102.0,,,,,,,653.0,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2212.0
113,FRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.0
114,FSA,,,,,,,,,,,,,14125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.0,,,,,,,,,,,,2658.0,,,,435.0,,,12609.0,,631.0,,720.0,,,,,304.0,,,,,212.0,,80.0,,,174.0,,,79.0,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,4015.0,,,,,,,,,,,,,,3599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40710.0
115,FTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0
116,GAE,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
117,GAM,,,,,,,,,,,,,,,,,,,,,,,3912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3912.0
118,GAP,,,,,,,,,,122.0,,,,,,,,,,1107.0,,,,1461.0,,,100.0,,607.0,,,223.0,34788.0,,,,,,,,,,,,,,398.0,,,,116.0,,,,,,,,,,,,,,,595.0,,,,,,,,10129.0,,1723.0,315.0,,,,,5818.0,,1566.0,,6014.0,4202.0,768.0,86.0,399.0,,39.0,5449.0,,1387.0,509.0,1661.0,1022.0,576.0,560.0,,,,,,,,,,,,,,,,,,375.0,,,,,,,,,,,330.0,,,,,,,,8676.0,,,,,,,,,,,,,,,,,,,125.0,1638.0,,,,,,,,1335.0,,94219.0
119,GCS,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
120,GEC,,,,,,,,,,826.0,,,,,,,,,,,,,,,,,,,,,446.0,,11172.0,,,,133.0,,5520.0,,62.0,,,,,,58.0,116.0,,,,7796.0,,,,2502.0,,,,,,,,,194.0,6940.0,,,,1083.0,,,,,12427.0,4756.0,3414.0,,,,,2056.0,,1565.0,,,4844.0,,1661.0,1642.0,,344.0,,,256.0,8738.0,,681.0,1175.0,14.0,,,1367.0,,,,,,870.0,,,,,,,,,,,,,,1397.0,,,,60750.0,,,2192.0,,,,,,,6779.0,,2512.0,,8838.0,,,,,,,,,,1691.0,,,128.0,,,1553.0,,28041.0,,,108.0,,2517.0,286.0,72.0,199522.0
121,GEH,,,,,,,,,,,,,381.0,,,,,,,,,,,,,,,,,,,71.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,,,,,216.0,204.0,,,,,,,,,108.0,,,,27.0,,,,,,,,,0.0,105.0,216.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,96.0,,,,,552.0,,,,,,,,,1345.0,,,214.0,,,,,,,,,,,,,,,,,,,61.0,,,119.0,,,555.0,,4652.0
122,GER,,,,,76.0,,,1948.0,,,,,,,,,,,,657.0,,,,242.0,,532.0,286.0,,4334.0,,106.0,,,,,,,,,,,,,,,,1726.0,,,,,,,,,,,,,,,,,,,1135.0,12302.0,,,,,,,,,,975.0,,,,,21757.0,,,,,369.0,,206.0,,,172.0,,,5944.0,1437.0,,57.0,119.0,274.0,,,25.0,,,,,,,,,,92.0,,,,,243.0,,,,,,,,,,,,,129.0,,,,,,699.0,,,,,,,,,,,,,,,,,,,,,,233.0,,,239.0,,,1222.0,,57536.0
123,GEX,,,,,,,,,,,,,1181.0,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,268.0,,,,80.0,,,,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,242.0,,,,,,,,,,,,,,,,,,,,,,285.0,,,,,,,,2592.0
124,GFS,,,,,,,,1610.0,,,,,,,,,,,,7629.0,,,,,,98.0,,,1181.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.0,822.0,,,,,156.0,,,,,200.0,,,,,10189.0,1865.0,,,,435.0,,,,,95.0,,,885.0,1188.0,,,39.0,184.0,,,135.0,,,,,,,100.0,,,,,203.0,,,1137.0,,,,,,,,,,4936.0,,,,,,,,,202.0,,,444.0,,,,,,282.0,,,,,,,,,,,,,,,,395.0,,,237.0,,35259.0
125,GLB,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,472.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,949.0,,,,,,,,,,151.0,,,,,1493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.0,,4127.0
126,GMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3483.0,,,0.0,,3483.0
127,GNH,,,,,,,,,,,,,,,,,,,,1438.0,,,,,,,,,1750.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,620.0,,,,,1471.0,,,,,88.0,,,,,8838.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,190.0,,,,,88.0,,,,,,,,,0.0,,,,,,,,,,,276.0,,,912.0,132.0,15803.0
128,GPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969.0
129,GTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239.0
130,HAP,,,,,,,,,,,,,2098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,,,,,,,,,,,,,,,,,,,,,,,,,2403.0,,,,37.0,,,4259.0,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.0,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10090.0
131,HAR,,,,,,203.0,,1712.0,,,,,,,,,,,,6759.0,,,,,,,,,183.0,,,,,,475.0,,,,556.0,,,,,,,,324.0,,6572.0,,64.0,,,,,,,,,,,,,,,233.0,963.0,,,,,,,,67.0,,209.0,,,,,4300.0,,,,1931.0,58.0,,,424.0,,94.0,40.0,,703.0,642.0,1418.0,15.0,132.0,263.0,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,419.0,225.0,,,,,,,,1561.0,,7270.0,,,,,,,,,,,,,,,,,,,,417.0,,,,,,1507.0,,39854.0
132,HC1,,,,,,,,,,,,,,,,,,,,,,,,,2353.0,,,,2009.0,418.0,,106.0,,,,,,,,,,,,,,,,2931.0,,,,,,,,,,,,,,,,,,418.0,87.0,,,,,,,,642.0,93.0,405.0,107.0,,,93.0,25124.0,,,,6882.0,616.0,2204.0,9.0,,,149.0,1268.0,,2479.0,1061.0,2308.0,,488.0,40.0,,,67.0,,1018.0,,,,,,,125.0,,,128.0,,,3262.0,,,,,441.0,,,,,,,,,,,,510.0,,1392.0,,,,,110.0,,,,,,,,,,,,,,402.0,,,,,,2837.0,,,1835.0,375.0,64792.0
133,HC2,,,,,,,,,,,,,,,,,,,,,,109.0,291.0,,,,310.0,,3098.0,1624.0,842.0,,,,,,,,,,482.0,,,,,,690.0,14047.0,,,1460.0,,,,72690.0,,,,,,,,,18.0,,81.0,195.0,,,,,,,,1379.0,18.0,1090.0,212.0,,,,24460.0,179.0,1837.0,,13165.0,1516.0,1169.0,446.0,592.0,,235.0,6525.0,,10217.0,1044.0,2882.0,562.0,1171.0,447.0,,,,,,,,,,,,4288.0,,,1640.0,,,2372.0,,256.0,,,2348.0,,,,,,,,,,,,1745.0,,7661.0,,,,,422.0,,,,589.0,,,,,,,,468.0,,1443.0,,,249.0,,,7592.0,,,9511.0,3408.0,209075.0
134,HC3,665.0,,265.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,,893.0,744.0,,,,,,,,3446.0,2329.0,,270.0,,,,,,417.0,5676.0,,,,,,,,563.0,,,,1312.0,,,,,,145.0,,,,,,,,,537.0,558.0,644.0,,,,,2012.0,819.0,,,,2100.0,1089.0,,,,488.0,,838.0,,2156.0,,146.0,926.0,147.0,,3278.0,,331.0,531.0,,,,2462.0,,,510.0,,,,,724.0,2621.0,,2499.0,,,2254.0,,,,,,,786.0,,,,,1512.0,3425.0,2344.0,,,,,598.0,,,,,,,,,,,,5557.0,,1857.0,,64.0,374.0,,,6114.0,,,4920.0,1182.0,73231.0
135,HC4,,,,,,,,,,,,,,,,,599.0,,,,,56.0,,,727.0,,84.0,,5124.0,1035.0,797.0,290.0,,,423.0,,,,,,282.0,,,,,,1195.0,12578.0,,,,,,,25787.0,,,,,,,,55.0,,,1148.0,2425.0,,,103.0,,,,,3190.0,702.0,1312.0,,,,,32881.0,1926.0,1022.0,,26426.0,1672.0,4481.0,28.0,487.0,,238.0,8587.0,,6610.0,3568.0,5480.0,,573.0,160.0,,,181.0,,51.0,,,,1516.0,,,916.0,,,,,206.0,1911.0,,,,,1465.0,,,298.0,,,357.0,,,,,,2296.0,329.0,2460.0,,,,,1146.0,2412.0,,,441.0,,259.0,,,,,,914.0,,840.0,,,282.0,,,6641.0,,,8488.0,566.0,186026.0
136,HCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0,,,,,,,,,,,,,,,,,,,,1116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985.0
137,HCM,,,,,,,,,,,,,,,,,,,,,,,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3175.0
138,HED,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,,,759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968.0,,,,,,,,,,66.0,,,54.0,264.0,,,,,,,,,,,,,,,,,,,,,,344.0,,,,,,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,7254.0
139,HER,,,,,,,,,,,,99.0,,,,,,,,,,,,71.0,,,,,2393.0,,,,,,,,,552.0,3120.0,,,,212.0,,,,,,,,,,,,,,,2965.0,,,,,,,,1327.0,,,,888.0,,,,,9819.0,3419.0,3637.0,,,437.0,,12694.0,,,,3790.0,1488.0,321.0,319.0,,,130.0,,,1932.0,1607.0,1654.0,,665.0,425.0,,,,,,,,,,,,,,,,,,3883.0,,,,,1335.0,,,,,,492.0,1075.0,,,,,,,4243.0,,400.0,,,,,,,,,180.0,,,,177.0,,,,,,,363.0,67.0,,3537.0,,,1494.0,,71210.0
140,HHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
141,HHR,,,,,,,,,,,,,3411.0,,,,,,,3906.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476.0,,,,,,,,,,,94.0,,,,,,,,,312.0,,,,,,,161.0,,,,1452.0,12.0,,,,,,,,145.0,,209.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,342.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14203.0
142,HIL,,,,,,,,,,,,,9802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.0,,,,,,,,,,,,1983.0,,,,275.0,,,7310.0,,164.0,,,,,,,,,,,,180.0,,,,,102.0,,,62.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,295.0,,2517.0,,,,,,,,,,,,,,2106.0,,,,,,,,,,,,,,,,,,,,,,1281.0,,,,,,,,26640.0
143,HMP,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,116.0,,,182.0,,,,,,,,,,,,,,,,,,908.0,,,,,,,,,,,,,,,38.0,,,,256.0,,,,,,,,,,747.0,,,,,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.0,,,,,,394.0,,,,,416.0,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,296.0,,280.0,,,,,,559.0,,,1387.0,,6645.0
144,HMR,,,,,,,,1450.0,,,,,,,,990.0,,,,559.0,,,,1049.0,,,37.0,,1574.0,,,,,,77.0,,,,,,,,,,,,2823.0,,,,16.0,,,,,,,,266.0,,,,,,,170.0,33455.0,,,132.0,,,,,,296.0,252.0,9.0,,,,12370.0,1715.0,,,10589.0,105.0,1360.0,1602.0,,,216.0,2638.0,,4200.0,2071.0,2852.0,162.0,247.0,1421.0,,,95.0,,,,,,152.0,,,1104.0,,,,,,,,,,,137.0,,,186.0,,,,,,,,,,123.0,2064.0,,,,,,1428.0,,,,,,,,722.0,,,,,,,,1042.0,,5796.0,,,,1107.0,,98659.0
145,HNB,,,,,,,,762.0,,,,,,,252.0,291.0,,,,,,,,95.0,,703.0,205.0,,1885.0,,,,,,243.0,,,,,,,,,,,,1926.0,,,,240.0,,,,,,,,,,,,,,,689.0,14619.0,,752.0,,,,,,,,135.0,219.0,,,,9424.0,,,,8498.0,564.0,900.0,510.0,1455.0,,141.0,668.0,,1301.0,1416.0,2443.0,,393.0,116.0,,,,,,,,,175.0,,,346.0,113.0,,,,,276.0,,,,,,,,,,,,,,,,,,,1513.0,,,,,,250.0,,,316.0,,,,,,,,,,,,,541.0,,1078.0,,,,2563.0,,58016.0
146,HOH,,,,,,,,3693.0,,,,,,,,,,,,,,,,,,,124.0,,732.0,,,,,,,,,,,,,,,,,,185.0,50.0,,,,,,,,,,,,,,,,,,965.0,,,,,,,,,3121.0,,1406.0,52.0,,,,28208.0,,,,,690.0,,,3543.0,,549.0,,,2951.0,2707.0,,133.0,75.0,,,,159.0,,,,,,,,,,141.0,,,,,252.0,,,,,,,,,,3806.0,,,,,,,,,956.0,,,,,,,,,,,,,,,,,,,,,83.0,536.0,,,,,,257.0,,55374.0
147,HPB,,,,,,,,,,,,,,,,,,,,,,,1722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18972.0
148,HPH,,,,,,,,,,,,,,,,,,,,,,,3933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4227.0
149,HRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2246.0,77.0,,100.0,,,,,,,,,,,,,,,,1291.0,,,501.0,,,,,,,,,,,,,,,879.0,4465.0,,,,,,,,168.0,,527.0,,,,,20382.0,200.0,,,6615.0,90.0,1286.0,,,,77.0,3477.0,,2774.0,3695.0,2880.0,154.0,142.0,64.0,,,,,,,,,,,,,,,,,,1620.0,,,,,153.0,,,,,,,,,,,,108.0,,709.0,,,101.0,,140.0,,,,537.0,,,,,,,,7342.0,,,,,139.0,,,911.0,,,3352.0,,67202.0
150,HRH,,,,,,,,,,,,,12980.0,,,,,,,,,,,,,,,,594.0,,,,,,,,,,2362.0,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.0,,,,,915.0,,2140.0,,,,,,,,,,27.0,,,,,30.0,,,,133.0,,,6.0,,,,90.0,,,,,,,,,,,,,,,,,,,,1159.0,,,,,,,282.0,,,,,,,497.0,,,,,397.0,,,,,,,,,,,,,,,,,,,,,,,,,22324.0
151,HSA,,,,,,,,,,,,,,,,,0.0,,,4979.0,,,,,,719.0,183.0,,2430.0,,,253.0,,,,,,,,,,,,,,,,3327.0,,,348.0,,,,,,,,,,,,,,,1088.0,419.0,,,,,,,,,176.0,809.0,384.0,,,,29176.0,,,,,66.0,,70.0,,,,,,43.0,,,,204.0,,,,0.0,,0.0,,,,,60.0,,,,,,,,12326.0,,,,,,,,,,,,,,,,,,,672.0,,,536.0,,709.0,,,,,,,,,296.0,,,,,,,,0.0,,,,,,750.0,,60023.0
152,HSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.0,,,24.0,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,211.0,,,,,,,,,,,136.0,,,,,7008.0,,,,,62.0,,,,,171.0,,,790.0,338.0,,,19.0,,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,150.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,197.0,,10396.0
