,ROOM TYPE>,ADMIT,AIRLOCK,ALCOVE,ANIMAL,ANTE.RM,ARCHIVE,ARMORY,AUDI,AUDI.S,AV.RM,BALANCE,BAR,BED.RM,BOOK.ST,CAGE.ST,CAGE.WA,CALLCTR,CASHIER,CHAPEL,CLASS,CLASS.S,CLEAN,CLINIC,COLD.RM,COMMON,COMPLAB,COMPTR,CONDO,CONF,CONSULT,CONTROL,COPY.RM,COURT,DANCE,DARK.RM,DECK,DET.RM,DINE.S,DINING,DRAFT,DRESS,DUBBING,EDTG.RM,ELV.LOB,EM.RM,EMP.SP,EQUIP,EXAM,EXHIBIT,FIELD,FILE.RM,FOYER,FREEZER,GAME,GARAGE,GIFT,GRN.RM,GYM,INCNTR,INFO,INST.RM,INTVIEW,JC,KIOSK,KIT.S,KITCHEN,LAB,LAB.OFF,LAB.S,LAUNDRY,LIB.S,LIBRARY,LIV.RM,LOAD.DK,LOBBY,LOCKER,LOUNGE,MAIL.RM,MORGUE,MUSEUM,OBSERV,OFFICE,OM*BOIL,OM*CHIL,OM*COM,OM*CORR,OM*ELEC,OM*ELEV,OM*EQ,OM*FAN,OM*FURN,OM*JC,OM*LOB,OM*MACH,OM*MECH,OM*RR,OM*STAI,OM*STO,OM*TELE,OM*VEST,ON.CALL,OR,PANTRY,PATIENT,PHARM,POOL,PORCH,PRACT,PREP.RM,PRIV.RM,PRNT.RM,PROC.RM,PROJECT,QUAR.RM,READ,REC.RM,RECEIVE,RECEP,RECORDS,RECOVER,RESI,RETAIL,RR,SAUNA,SCREEN,SCRUB,SEATS,SEMI,SHOP,SHOWER,SNACK,SOUND,STACK,STAGE,STATION,STERILE,STO,STOCK,STUDIO,STUDY,SUITE,SUPPLY,SURGERY,TAPING,TELE,TEST.RM,THEATER,THERAPY,TICKET,TOOL.RM,TRAIN,TRASH,TRASH.R,TREAT,TUTOR,UTILITY,VAULT,VENDING,VEST,VIDEO,VIVARIA,WAIT.RM,WARM.RM,WEIGHT,WORK.RM,XRAY,Grand Total
20,APS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,8144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,,8410.0
21,ASC,,,,,,,,4133.0,,,,,,,,,,,,4957.0,,,,,,2505.0,96.0,,3179.0,,640.0,102.0,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,1206.0,1451.0,,,,,,,,4539.0,,3033.0,558.0,,,,28176.0,862.0,340.0,,8302.0,269.0,763.0,111.0,278.0,,268.0,649.0,,4070.0,1942.0,3734.0,338.0,831.0,186.0,,,44.0,,,,,,,35.0,,,,,,,,169.0,,,,,23.0,,,,,1409.0,,,,,,757.0,,,898.0,,,,,,,,,,,,,,,,,,,,,,917.0,,,940.0,,,1287.0,,84041.0
22,ATM,,,,,,,,,,,,,,,,,,,,1771.0,,,,,,,,,390.0,,,,,,,,,,,,,,,,,,326.0,,0.0,,,,,,,,,,,,,,,,,415.0,1060.0,,,,,,,,,,0.0,,,,,1239.0,,,,,,,,,,0.0,,,,66.0,,,66.0,,,,,,,,,,,,,,,,,,,10451.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,15784.0
23,AUB,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,211.0,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,177.0,,,,,,82.0,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.0,,,319.0,,2326.0
24,BAA,,,,,,,,,,,,,2512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.0,,,,60.0,,,3184.0,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,,,,,,,,,,,,,,463.0,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,8722.0
25,BBM,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,210.0,182.0,,,,,,,,,,77.0,,,,,,63.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,,306.0,,,,,66.0,,,,,,,,,0.0,,78.0,131.0,,,,,,,,,,,,,406.0,,,,,,119.0,,,,,230.0,,,,,,,,,,,,338.0,,178.0,,,,,89.0,,,,,,,,,,,,1023.0,,233.0,,,,,,787.0,,,180.0,,5931.0
26,BCC,,,,764.0,,,,,,53.0,,,,,,1023.0,,,,,,,,635.0,,132.0,,,2409.0,,52.0,,,,83.0,,,,,,94.0,,,,,,5630.0,,,,,,435.0,,,,,,,,,,,,,400.0,19197.0,,1807.0,62.0,,,,,2932.0,114.0,147.0,98.0,,,,2954.0,415.0,,,9658.0,2918.0,1286.0,87.0,,,288.0,,,8801.0,1616.0,2641.0,,836.0,587.0,,,,,,,,,168.0,,,960.0,,,,,,1457.0,,,,,,,,,,,,55.0,,,,,,,666.0,,,,,392.0,,,,,,,,,,,,,,,,,2351.0,,2589.0,,,,,,76792.0
27,BCH,,,,,,,,,,,,,1710.0,,,,,,,,,,,,,,,,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.0,,,,,,,1281.0,,,,,,,,,503.0,,,,,41.0,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.0,,,,,,,,,,,,,,206.0,,,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6304.0
28,BCS,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,180.0,,221.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,805.0,,,,,1092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3331.0
29,BDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,,,,,,,,,,,,,,,,268.0,,,,,,,,,,,,,,,,,,,,,,,467.0,,,,,,2153.0,241.0,,,,404.0,3250.0,,,,,205.0,,,,,37.0,,,327.0,1203.0,,15.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,482.0,,,,12857.0,,944.0,547.0,,,,,,,959.0,,,,,,,,,,,,,,379.0,,,,,,,,240.0,,,,,,103.0,,26157.0
30,BDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140.0,,,141012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143615.0
31,BHE,,,,,,,,,,,,,,,,,,,,620.0,,74.0,,77.0,,,,,906.0,,,,,,82.0,,,,,,,,,,,,295.0,,,,,,,,,,,,,,,,,,,65.0,13942.0,,,,,,,,,,,,,,,1888.0,,,,2239.0,332.0,289.0,435.0,,,110.0,421.0,85.0,,603.0,3397.0,96.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0,,,,,,,,50.0,,,,,607.0,,,,,,,,,,,,,,,,,57.0,,,,,,,,27134.0
