,Building Name,BLDG Code,2018-01-30 00:00:00,2018-02-28 00:00:00,2018-03-29 00:00:00,2018-04-29 00:00:00,2018-05-29 00:00:00,2018-06-27 00:00:00,2018-07-29 00:00:00,2018-08-27 00:00:00,2018-09-26 00:00:00,2018-10-28 00:00:00,2018-11-27 00:00:00,2018-12-31 00:00:00,2019-01-30 00:00:00,2019-02-28 00:00:00,2019-03-29 00:00:00,2019-04-29 00:00:00,2019-05-29 00:00:00,2019-06-27 00:00:00,2019-07-29 00:00:00,2019-08-27 00:00:00,2019-09-26 00:00:00,2019-10-28 00:00:00,2019-11-27 00:00:00,2019-12-31 00:00:00,2020-01-30 00:00:00,2020-02-28 00:00:00,2020-03-29 00:00:00,2020-04-29 00:00:00,2020-05-29 00:00:00,2020-06-27 00:00:00,2020-07-29 00:00:00,2020-08-27 00:00:00,2020-09-26 00:00:00,2020-10-28 00:00:00,2020-11-27 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-31 00:00:00,2021-04-29 00:00:00,2021-05-28 00:00:00,2021-06-29 00:00:00,2021-07-29 00:00:00,2021-08-27 00:00:00,2021-09-28 00:00:00,2021-10-28 00:00:00,2021-11-30 00:00:00,2021-12-30 00:00:00
11,Bridge Memorial Hall,BRI,10369.94364525318,11972.568275862064,12361.902068965515,17501.39999999999,18489.890000000003,19170.100000000002,18429.899999999994,21981.69999999999,27985.94,31968.619999999995,29964.000000000004,23939.18,23470.36,21490.059999999994,24912.370000000006,18084.779999999988,27789.76,25327.98,25327.98,33275.9,45146.173515625,59595.63330078125,55760.92822265625,52838.69176757812,49135.689999999995,47450.950000000004,41731.06,36526.78,42416.922580645165,42654.64633333333,49743.716129032255,46918.60419354838,62366.48533333334,46590.50322580647,52582.54133333332,39212.52580645162,44284.23225806452,36431.508928571435,32095.366451612903,35309.22066666667,39034.83570044733,31780.77752604167,24363.900000000005,22497.98483870968,44953.29066666667,42058.006451612906,49677.79299999999,38867.57419354839
12,Center for Electron Microscopy,CEM,1550.0,1599.1657472418162,2655.534931102228,5100.0,8512.75448466564,8062.0,9973.536366714401,11728.33445036332,11619.206718480042,7409.579586717998,3960.0,1920.0,1500.0,1656.2788096433096,2484.210096837568,5270.0,7980.707329374038,8062.0,10638.438791162029,10971.667711630203,11619.206718480042,7903.551559165864,3600.0,2040.0,1500.0,1827.61799684779,2484.210096837568,4930.0,7980.707329374038,8618.0,9973.536366714401,10971.667711630203,12393.820499712045,7409.579586717998,8738.0,5940.0,3520.0,2900.0,3045.0,3770.0,7714.6837517282365,8896.0,9973.536366714401,10971.667711630203,12393.820499712045,7409.579586717998,8481.0,5940.0
13,Doheny Memorial Library,DML,8823.0165625,7820.120000000001,32745.69551724138,36173.86551724138,40761.219999999994,40144.50999999998,43890.0,52896.01000000001,54982.56999999999,41175.170000000006,107116.57999999999,86622.62999999998,103437.74999999996,72681.64000000001,74513.48999999999,37379.66103448276,85214.33,83023.25,83023.25,92042.8,28885.876529541016,17547.552131652832,18774.16896057129,32869.08524902344,28529.19,11930.939999999999,10491.7,9937.409999999998,2182.4032258064517,2566.0146666666665,2092.683870967742,32399.576451612906,52396.85333333334,34276.054838709686,112120.168,179600.535483871,164027.4787096774,159284.5714285714,83777.23000000003,35716.20666666668,32602.744838709677,41518.975999999995,33577.08387096775,31053.59290322581,34979.56266666667,28748.874193548385,22175.03808746338,13927.586546867125
14,Electrical Engineering Building,EEB,15456.245215415955,16654.206896551725,11442.559655172414,10798.08620689655,2778.66,5973.0,21794.0,43590.979999999996,48014.020000000004,45000.0,47267.0,36261.0,29679.0,23747.0,30436.979999999996,11158.022413793104,32596.67,16214.0,16214.0,25443.0,29457.34,23352.99560546875,17880.004516601562,10456.002227783203,14648.0,17820.989999999998,7408.0,8510.67,16031.612903225807,16593.266666666666,18839.032258064515,25279.58064516129,31400.533333333333,30883.006451612906,30554.791333333334,22108.26774193548,23031.36,19434.142857142855,19932.30494623656,8226.981,14640.324693249118,39578.655999999995,77950.64516129033,101515.9593548387,93143.50933333334,85009.3935483871,85024.59899999999,70663.57741935483
15,Gerontology,GER,14105.869187049864,15132.599999999999,12545.507586206897,21353.131034482758,20206.35,27459.969999999994,48670.89000000001,52595.329999999994,39074.14,29775.079999999998,20667.859999999997,8669.28,7465.869999999999,4286.049999999999,10744.010000000002,22064.90206896552,14489.189999999999,22688.809999999998,22688.809999999998,44162.53,50240.668828125,30410.808715820312,18843.316192626953,9696.891632995608,8740.42,17855.54,16522.260000000002,23637.679999999997,30045.91935483871,34049.501,39636.41612903225,47552.78741935485,59029.770666666656,44104.47096774193,28959.602000000006,10256.25483870968,12164.655483870969,12124.703214285713,5043.745483870968,5093.927333333334,6550.688387096776,26664.533333333336,48683.661290322576,41897.740645161306,47388.384,25232.709677419363,23478.906,4680.832258064516
16,G. F. Salvatori Hall of Records,GFS,14104.54941787243,13618.910344827584,9177.560689655173,15970.375862068966,15001.37,19851.13,21225.420000000006,20994.33,28427.949999999997,21012.64,13721.009999999998,3134.11,6184.52,4169.200000000001,9348.95,16502.72172413793,10756.930000000002,16655.4,16655.4,28381.870000000006,34212.106784667965,22149.839584350586,13802.945114135742,5370.7078579521185,5656.440000000001,9156.340000000002,5833.68,9205.91,13888.016129032258,17692.57833333333,12483.37741935484,13564.151290322578,15441.62133333333,14960.206451612903,18463.813333333335,10562.999999999998,13789.254193548391,11768.645357142857,9487.845806451613,8899.046333333334,13084.774303806134,9263.827270833333,13075.645161290322,13230.782258064515,13325.642666666668,13060.451612903222,16440.094,7017.05806451613
17,"Harris Hall, Quinn Wing, Fisher Galllery",HAR,3522.344448513985,10772.59448275862,15235.901379310342,12339.682758620691,10397.329999999998,10370.949999999999,11416.75,16517.5,14477.660000000002,11991.630000000003,10820.26,8566.390000000001,9596.769999999999,7143.730000000002,10050.63,12751.00551724138,11064.579999999998,10509.789999999995,10509.789999999995,11882.43,12478.059999999998,12183.710000000001,9395.32,9636.470000000001,4074.379999999999,7110.099999999999,5161.56,6763.999999999999,7832.8064516129025,7668.118666666666,8446.132258064517,9344.623225806454,10214.261333333334,9665.690322580645,7426.472666666666,5144.690322580646,5412.294193548387,5028.6725,4510.96870967742,6538.533333333333,7456.528998922533,6900.541049072266,5633.153620886034,12497.521935483868,32533.81333333333,21903.88064516129,13341.822999999997,5344.229032258064
18,Hedco Chemical Engineering,HED,3670.3399536418915,2527.048275862069,7817.430344827587,6497.606896551724,5310.409999999998,3881.2799999999997,1834.3200000000004,2486.5600000000004,5409.3099999999995,3835.9800000000005,9270.349999999999,7966.049999999998,3502.56,6257.280000000001,8399.509999999998,6714.193793103449,9157.199999999997,8879.98,8879.98,5773.509999999999,7782.112540893557,8075.762540893556,5944.092540893553,5373.551545410155,3394.4999999999995,7537.599999999999,5626.909999999998,5534.7699999999995,8727.3,8626.029,8787.290322580646,7641.079032258065,8706.815999999999,5459.496774193549,5136.901333333333,3240.07741935484,3671.845161290323,4079.730357142858,3555.362580645161,4250.075666666667,4820.155483870968,6342.304,5181.203225806451,4654.537419354839,5249.045333333334,4879.461290322581,5471.334000000001,2840.1
19,Heritage Hall,HER,13009.112348594666,6637.921379310345,13075.885517241377,18944.368965517246,19631.28,29405.939999999995,50696.33999999999,57323.52,41623.38999999999,30570.979999999992,22490.23,11729.170000000002,11375.12,8311.580000000002,14710.270000000002,19575.847931034485,20162.42,30487.11999999999,30487.119999999995,44688.36,47409.60314941405,28748.343688964844,18547.30160522461,10263.654594726562,10673.74,14502.179999999998,10510.360000000002,16288.890000000001,21673.91612903226,24894.25033333333,30960.512903225805,34113.14903225807,35953.50399999999,32093.874193548385,18463.597999999998,9615.832258064516,11712.732903225804,10402.403571428573,8962.852258064517,13554.628999999999,17253.849354838712,32125.898666666664,41577.154838709685,38514.06741935484,35976.61866666667,18410.651612903224,17011.885,5164.470967741937
20,Hedco Neurology,HNB,48865.42902870179,28574.43448275862,29958.52827586207,42987.48620689655,35284.19,59832.76000000001,91364.06000000003,96917.57999999997,76874.23000000001,60632.770000000004,48372.54999999999,28116.639999999996,31270.400000000005,21383.829999999998,69396.43,44420.402413793105,127319.06999999998,161317.16999999998,161317.16999999998,223654.51000000004,206683.01494140617,104080.28271484375,68157.88018798828,28848.72302246094,40883.01000000001,61012.01000000001,48910.259999999995,78477.0,95961.22258064515,117232.018,167769.69677419352,187789.46258064525,229430.07999999996,158570.16774193553,147661.28599999993,98245.15161290324,89152.94967741935,63594.90785714286,58057.78483870969,92335.02366666665,90340.74387096774,160914.94400000002,188671.0064516129,173455.02451612902,197822.76266666668,138197.60322580644,129568.73600000003,63491.51612903225
