,Bldg #,Code,Building,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
21,24.0,VHE,Vivian Hall,234.23024938339893,519.097590840203,228.65707281709103,246.8722541603622,386.45835475008795,333.0453096297497,315.99422789175503,493.8672763848441,473.5819021698115,425.90475419808075,409.44037187304093,167.40011939147607,258.4546755591555,230.4333722813175,270.15315448365027,496.4489517915692,306.846950107827,334.9608370018343,433.8485433767909,391.8203029811059,513.6648337063131,458.5530068997323,417.1835905433703,258.1907848348655,270.16945247543043,375.89342873378723,244.9788149718238,158.35064349683162,311.2410340472915,209.62635923932348,308.0351223429311,373.16053315296057,361.6102031790806,301.6380146063308,187.5591620967978,192.6019441503081,109.50061238839473,140.69993200676072,166.04414927742687,207.43068688273908,271.64674889559046,311.1929258341432,298.5145422852078,283.049324907777,325.5542644748257,131.9260058348902,356.8185694350574,35.3018167971303
22,25.0,MCC,McClintock Bldg ( was UCC),56.18542018673789,92.16266952680256,54.482267119207116,47.31362496405191,75.00048589936037,66.7003247898371,64.73238333229882,89.22017686769891,85.72504886434218,80.69823435032193,78.74266022058009,46.87780508683669,58.50837029355571,54.16389708338586,59.59363845952216,88.6383208037428,63.84384357611261,66.38777706283814,79.5912425981215,74.9865552118794,90.44027027354744,84.5385932562395,79.61047212878414,57.60303899665741,59.608216427035075,73.18683080094401,55.273873161562754,42.72990809203411,64.10124713903527,48.899096792129086,62.818082982876554,72.21399370440986,69.75405488524466,63.185804541264496,48.77188285054582,49.363074131250684,38.657613132650596,42.044872505646076,45.745240404806374,50.52124316725952,60.70447927837774,64.61162259938602,68.32861436750643,70.06772802729597,73.4789701343008,45.26329188467635,71.11142875903668,27.85321514029424
23,27.0,PHE,Powell Hall,95.81809675638601,202.7365390012613,92.4377374257085,96.75890966000735,150.9560568603678,129.45490141669188,121.94521137394189,190.1558517725258,181.66781618578298,164.93186064092293,160.26293922032687,70.49071067326854,104.70148915362486,93.84341707904586,108.00308634756973,192.98522852317805,120.77676447176891,130.08368684914316,166.33549071049066,151.52815501381107,196.71959356167864,177.1706686336305,163.1487590231286,104.3771479894535,108.9905208808957,148.67921340559045,98.2512841744196,65.09407980271554,122.3658589346804,82.6321463262877,118.84036418102193,144.4380578877082,139.26346853982858,117.84920702547531,76.37879877923122,79.75158433789703,48.44015818289044,59.904117610123336,68.69180191302642,83.9352286503722,107.8164677670778,121.34134444169179,26.28543109290008,30.829265877350533,27.64943508768629,24.392175320748937,20.682945551408306,20.973318407411163
24,29.0,WAH,Watt Hall,88.18554840307132,129.64247774269003,84.31832252038718,68.6538919777749,110.9020292556563,97.51214407528889,97.47630527428609,130.10479337994073,122.95378746728682,119.38573805436721,116.96090439063462,76.71864674137603,90.41511788338804,82.67977192125291,90.39024692006141,125.54572495113449,96.60558304844028,96.75341472543704,115.3403187802061,111.8635343367754,128.3717104953503,123.76474330885591,117.91308463578949,89.04274372468501,91.44686090249492,106.10771732239049,84.35103910256538,67.84778293799151,96.68104954457033,74.48608391024499,94.45576289559907,108.17863875933689,102.32225568907687,96.82757410949512,79.32874316700142,79.15967777303749,65.70701664775358,67.49922531928814,73.17644442453037,78.39092855956824,93.85577707302743,95.45035249204608,106.37886728065527,113.50759397579075,113.09265765094126,78.21624217684557,106.97501709978681,51.97458630502147
25,31.0,SHC,Student Health Center,134.4015494982254,307.4743778491745,131.1966144907356,144.4912905274957,224.99300645075934,192.67678917660118,181.4198958942824,288.3635437958993,276.7746595393514,248.64448918955597,239.9898818960469,94.27237816326316,149.27132637188956,133.15464768334007,156.3551749859029,292.5845706214722,177.14920597240146,194.04266628613652,252.86517000364415,227.05960458637355,301.20445281590247,268.52074805911536,244.71036394340564,149.43692134301133,156.4687939528827,221.02711936627966,141.4366500526675,88.8388177025684,179.9146594043458,118.71513044258609,176.96602321531407,215.91942368997394,209.63645596662218,173.99817428032918,106.21871610219071,109.72006920629302,59.386172848246595,79.04330652959194,93.52463865864881,118.06586562154442,155.37070377405982,179.1877209322447,168.46048679141077,157.51969532906446,184.51194475457305,69.9675794435975,208.41760321953532,14.94800628989604
26,32.0,ASC,Annenberg Sch. of Communications,105.91363223257183,156.60458371952103,100.90340649512717,82.66201945661206,133.9060873302283,116.80030231409845,117.31046393759664,157.85002259384385,148.48057258176502,144.63752432494414,141.760025824542,91.99452811866013,108.7487523247382,98.7884669285037,108.42023172996579,151.63945500029428,116.37982074087492,115.94652381396892,139.37870672144422,135.47102530691933,155.21988339581003,150.071421748174,142.94570280464725,107.2867715104931,110.06505619168237,127.6464982400387,101.1050678962445,80.78305301470144,116.50759658729885,88.67292045771735,113.69271819128899,130.96503106383082,123.23315766225912,116.97705054268796,95.50267671715619,95.0815530713652,78.35722513906686,80.13820439391995,87.24562627084029,93.59590202600555,112.83232105996704,114.14984637813868,127.58437628856704,136.59713247547015,135.44643096000553,93.64837768516863,129.5302347400639,61.69498055643717
27,35.0,THH,Taper Hall,128.42729807632443,177.5772124925797,122.69942340694493,96.02336884356768,155.855487889712,138.00140737690108,138.88441112410456,180.21906693757322,170.17314820678033,166.92629297323322,163.75036995167545,114.00583543485072,130.48088190392073,119.87366928455602,129.88481219272603,172.59702212405145,137.7411310710305,136.6197372117147,160.28959446554546,157.13548375202686,176.3707639758981,171.9301503899246,164.7979679031564,128.17301389197064,131.39827029020444,148.56396313371258,121.67665866201752,100.60149744369559,137.57304521256316,108.47331496764629,134.45698652124844,152.34227015034122,143.8191519779854,138.26306007969617,116.89951342527287,116.34345415694034,99.93101581110092,100.98576860490981,108.62210443001022,114.60356655393058,135.57673078442008,136.095323135158,154.69772789963693,167.0695273853796,163.97604768594786,119.0301368439015,150.91327921852,82.3042563899783
28,37.0,AHF,Hancock Foundation,419.4341370193713,924.7233526273059,409.5044423432486,440.2410702609509,689.036516602415,594.3359543597768,563.8018654683765,879.2411232936419,843.4371862074288,758.9528990537505,729.9351690432809,300.7899842283453,462.25911858512654,412.774642812197,483.0410235478118,884.2465327578327,547.741945398741,597.6423771981125,772.7232557001036,698.1474017345744,914.4402816456663,816.7883777525007,743.6448286248725,461.6160234793913,482.9652725369657,670.7279341386969,438.22988249335583,284.39653221606085,555.4864339569349,375.2006991100291,549.5596411616002,665.0100150987666,644.6673559612975,538.3944636948021,336.30858070441997,345.3550631467065,198.04825991250988,253.57876766170062,298.37884963172723,371.65706990963093,485.53949536262525,555.7071118721464,533.6626978602982,506.5423012172591,582.0005622331701,238.05267983685567,636.5021537616213,66.25454568707961
29,38.0,HAR,Harris Hall,102.3570332873371,168.8172539727184,98.9382831646495,86.42228345707002,137.3185323554134,121.28858978328716,118.1721512668585,164.03197224023936,156.98242597939424,148.18474233546794,144.64776316307407,85.24519161429141,106.7400709832813,98.23553418615289,108.46493870249287,162.3461345286458,116.65178463277581,120.77246977809914,145.83003125158308,137.65047377340215,165.79473322566375,155.34931714252323,146.26938882543485,105.25618123007598,108.8178553027175,133.58257071192463,100.53441672353546,77.21092213048394,117.15634814374435,88.39984870870694,114.6937766699013,132.52277935799358,127.43531825382695,115.73739394213948,89.03062365367262,89.92243749129855,69.8883559500192,75.75531103554626,82.75555194996181,91.5518548499124,110.69752159143148,117.31886667293567,124.32575056769487,127.86083442723351,133.53962166132598,82.14338728399821,130.51934813476223,50.029328604939906
30,40.0,OCW,Organic Chemistry Wing,133.71004289714642,314.51929331406035,130.48267720246963,146.57631436021492,227.69140045946378,193.98219840775906,181.974051005595,293.17303169671845,281.31600223069177,252.2778940735914,243.78223569391412,92.09930246093859,149.41779853345943,132.90528845394948,156.78349293291376,298.60276079972255,178.03298677320072,195.5723795161455,256.6115052948797,229.54172740680042,306.9382773316769,273.1121170833307,248.7383801245624,149.87421363363302,157.02663978266798,224.48523328008145,141.49657831086736,86.70311826076288,181.0036592202105,117.38296391760676,177.59750101766414,218.02989324478327,211.73699495904606,174.823950173032,104.60480093917035,108.39836762441023,55.8316789821723,76.60464774341449,91.35999981791642,116.79768742169716,154.92635181916077,179.6950482012132,17.080243777121016,19.023882678200803,17.853798763209888,14.907720294612405,11.793006745943053,11.18725116385707
