,Bldg No.,Bldg Name,Bldg Code,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
65,99.1,Harris Residence Hall,HRH,1460.9133007181726,1681.3610460849238,1838.833246725658,1558.453377213121,1638.1585372315012,1224.3306181136445,925.2216778450539,1009.3114548679497,876.5040405915395,947.4223109844052,1166.648096190076,1769.1235750824183,1735.31403488369,1414.8653103412191,1421.3361423426154,1161.7700665449004,1179.0776643518439,888.6456230952734,735.1730771982645,791.723241412307,820.5677555675272,960.1107342059502,1151.9287503338246,1355.559145196393,1260.3382345472355,1139.425219120709,1189.8945170693476,966.9434004371467,838.8668174340042,753.4751065753313,693.468071404128,603.4614881956228,577.9094469676555,580.6455876238894,752.2538849063957,774.9768247870786,753.884745670277,608.7224510216503,1177.0244236059816,1017.8947809412991,1094.1673421172616,856.8614567204352,831.9423387099666,886.3509555289858,987.8596137644497,1284.0597041390463,1484.5910527579656,2038.421184028431
66,100.0,College Hall,COL,832.6752603870808,958.3236364301816,1048.077905631366,888.2700780629007,933.6995466288125,697.8304706627641,527.3476537838867,575.2762180210733,499.5801118869298,540.0013259566158,664.9532226160254,1008.345555355345,989.0751662948143,806.4293343909369,810.1175078910583,662.1728970464138,672.037690873321,506.50043725314964,419.0258471770388,451.25768645779004,467.6981647004961,547.2333335676818,656.5636521072511,772.6266600773749,718.3536949875883,649.4370272051978,678.202961357674,551.1277413538268,478.12806228375274,429.4574361492724,395.2552876633387,343.9543274538242,329.390456639273,330.9499719317035,428.7613776831941,441.7127484952788,429.6909177254077,346.9529130570189,670.8674073446151,580.168447607593,623.6414413207469,488.38444844029925,474.18132422493136,505.192547926438,563.0493340794609,731.8741967582376,846.1708445093029,1161.836838199102
67,100.1,University Residence Hall,URH,823.167698104959,947.3814094982154,1036.1108562444613,878.1277290676844,923.0384798063927,689.8625785230306,521.3263500401555,568.7076615471889,493.87586047628207,533.8355414266729,657.3607259015433,996.8321735779339,977.7818155822247,797.2214504923716,800.8675120901369,654.6121463435825,664.36430305231,500.7171689345164,414.24137172858775,446.1051849204089,462.3579442788434,540.9849733133741,649.0669482761737,763.8047382058177,710.1514667953974,642.0216958290749,670.4591779143781,544.8349143952225,472.6687523375441,424.55385186383137,390.74222663754307,340.0270254838432,325.62944627830865,327.1711548824922,423.8657410569824,436.6692319325628,424.7846675259754,342.9913729623609,663.2073819279724,573.5440312088315,616.5206463035958,482.80803013887476,468.7670784948591,499.4242132077607,556.62038528473,723.517590240203,836.5091884133262,1148.5708789153994
68,102.0,Childs Way Bldg I ,CWO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,105.0,Hazel & Stanley Hall ,HSH,490.56413202357976,530.0786538150803,553.5619872030875,453.2845427030842,487.2039074370028,380.91352120950773,314.36936789875205,321.6382697346404,424.5641355114982,547.1557825000696,595.4170089610354,630.3970871037476,802.3852474024694,841.7094183890597,724.8515031115481,665.8730307443242,714.3407142867189,536.652548092869,469.61649024561626,460.4425983794441,448.61815999363245,585.0575335094113,747.196744884122,925.6979997237212,983.8754224763528,857.8592603797562,841.2925406402602,670.9207210977694,591.8003443562883,528.3728772527418,504.8599002572263,479.80733254084146,478.5559352122747,516.2971757798649,667.2536897684602,760.5179526707045,795.0610122191695,690.5747222158913,699.8332396830251,562.1369764556061,548.7700102979375,471.2522792830038,440.4636024948847,447.47483521916035,484.76146309677523,571.1064027118869,628.6337367160304,820.2318657766687
70,106.0,Seeley G. Mudd,SGM,8328.151987435802,8962.924669317066,9364.121030833358,7636.849420612571,8208.316251074182,6420.556589080068,5297.433694339584,5426.898732399033,7153.97361114229,9218.373729782255,10033.469444757695,10621.806967506926,13521.429892164795,14181.955842474392,12215.1565155456,11219.498735290601,12036.072798839961,9042.417288428971,7913.006882157337,7760.446944231479,7565.231116360408,9856.93502620284,12592.624783505287,15598.97905257274,16576.14090541623,14460.045225258447,14173.93236760494,11303.54123623551,9970.536586057931,8902.92301165257,8506.78096878856,8084.700202237796,8063.616904522344,8698.473952378035,11241.7598088001,12814.057889827774,13396.03260867822,11644.668007416773,11809.653700934956,9481.773958780059,9161.034225117377,7874.030672924362,7378.316277469929,7498.228917883779,8121.134761732393,9553.390209054845,10516.867400820716,13694.775169651735
71,110.0,Arnold Shoenberg Institute,ASI,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,111.0,Denny Research Center,DRB,7592.692601502889,3237.280439501774,2872.771152204915,2731.002532048342,1683.0,1622.0,1600.0,1831.0,2128.0,0.0,4296.0,2151.0,1433.0,1432.0,1335.0,1089.0,1083.0,1183.0,1399.0,1715.0,2387.0,0.0,5671.0,2183.0,0.0,2805.0,0.0,2938.0,1383.0,1017.0,1340.0,1394.0,2304.0,0.0,0.0,5866.0,2682.0,1771.0,1143.0,1280.0,469.0,1440.0,1834.0,2129.0,1435.0,1714.0,2733.0,1979.0
73,112.0,Town & Gown Foyer (Non-Aux) ,TGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,112.1,Town & Gown Foyer,TGF1,566.7221418865336,652.2389335858675,713.3260513435275,604.5601991099288,635.4796787141051,474.9462339301962,358.91494090062594,391.53531510198985,340.01623984944763,367.5270812362538,452.5698462569019,686.284053434108,673.168548887601,548.8590587568442,551.3692445220203,450.6775454562035,457.3915639371358,344.7262412157338,285.190682268618,307.12780213169447,318.31725795750356,372.44921479595365,446.85987071850224,525.8528222324524,488.9144232125045,442.0094610557532,461.58767190433787,375.09976444830875,325.41588833508035,292.29046381235685,269.01234355445575,234.09670304742693,224.1844738089308,225.2458862092706,291.8167236118965,300.6314788426204,292.4493723151229,236.13755250761466,456.59506424565404,394.86498629767806,424.45288122310853,332.3964261355566,322.7297224880002,343.8360864629193,383.21364855845934,498.1165312699495,575.9072908919217,790.7508398421595
