,Bldg #,Building,Code,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
88,1120,Town & Gown Foyer (Non-Aux)   *,TGF,2514.7200000000003,2605.5872000000004,2680.7808000000005,2853.5872000000004,2951.0016000000005,2398.0608,2696.4544,2957.5488000000005,2643.0848,2749.2288000000003,2849.0240000000003,2849.0240000000003,2480.5952,2480.5952,2578.8032000000003,2910.9248000000002,2650.4256000000005,2419.2896,2592.0960000000005,2696.0576,2657.3696000000004,2783.9488,2620.6656000000003,2823.4304,2448.8512,2810.5344000000005,2097.2864000000004,1904.2432000000001,1708.6208000000001,1778.0608000000002,1736.3968000000002,1812.9792000000002,1978.2464000000002,1846.2115072675392,2160.9728,2009.9904000000001,2141.3312,1882.0224000000003,1945.1136000000001,1559.0272000000002,1628.4672000000003,1722.9056000000003,1996.8960000000002,2096.4928000000004,2271.6800000000003,2287.552,2364.3328,2234.3808000000004
89,1121,Town & Gown Foyer  *,TGF1,10160.279999999999,10527.4128,10831.2192,11529.4128,11922.9984,9688.939199999999,10894.5456,11949.4512,10678.9152,11107.7712,11510.976,11510.976,10022.4048,10022.4048,10419.1968,11761.0752,10708.5744,9774.7104,10472.904,10892.9424,10736.6304,11248.0512,10588.3344,11407.569599999999,9894.148799999999,11355.4656,8473.7136,7693.7568,6903.379199999999,7183.9392,7015.6032,7325.0208,7992.7536,7459.290041459975,8731.0272,8121.009599999999,8651.6688,7603.9776,7858.886399999999,6298.9728,6579.5328,6961.0944,8068.103999999999,8470.5072,9178.32,9242.448,9552.6672,9027.6192
90,1130,ABA Child Care Center,ABA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1140,Stonier Hall,STO,20300.963907156987,18872.97671907716,18851.01544858593,18550.968874276037,20857.379328053685,18592.028556491114,18666.982072346345,19695.98138490093,19154.899392294075,19084.878381106784,21980.637181090173,23154.802348456447,20603.938455387633,19810.499551560253,20169.988526282636,21390.012807387324,22719.977252594657,21350.93695785779,23276.01274806288,21393.98395713604,20843.979605149525,23241.01153524008,23503.973908478823,21532.18730134163,18988.121830069205,20771.0,17107.0,16187.000000000002,15678.0,16689.0,17153.0,15982.0,17766.0,15994.565147026931,17978.0,17850.0,19888.0,15997.0,13909.0,15553.0,16622.0,18012.0,17248.0,18589.0,23119.0,24065.0,25676.0,23390.0
92,1160,Faculty Center - Direct,FAC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1171,Parkside Apartments I  *,PKS1,33657.98109548938,33065.08532620035,30804.911403634316,30329.96175513492,25976.018305336613,19521.981049234448,22237.997470330276,43227.4339490563,21707.917652406755,20371.839732597513,17431.991525329955,34496.706516733444,31605.898070013278,33065.07,62902.79491856581,104821.9810315252,22023.986226513207,16780.97468708309,19944.96636506126,19267.953451301735,24442.9747227686,24582.05521641439,25062.964150697695,25682.889543406804,21824.023016989126,25125.0,20908.0,24792.0,21510.0,20865.0,20896.0,20199.0,23283.0,22700.237719561614,26341.0,21777.0,23693.0,23863.0,25218.0,25448.0,24976.0,24844.0,26667.0,26004.0,35560.0,30232.0,36007.0,31936.0
94,1190,Rapp Engineering Research,RRB,35029.69488707122,36228.91895856796,33478.036832935024,32875.98304199219,35676.010754808,35761.99783058267,43249.02421906388,43922.98848155966,39345.86708452385,38805.78609893458,39963.40640272283,33097.29570030398,33250.04773785205,33890.03252346794,30968.01745297999,33501.98787161754,29923.997674668866,34218.913157336334,43970.00181104921,43494.912175730264,49735.97253761741,44790.00448505508,37012.97035947391,39656.885714353535,33879.03648554944,38102.0,27352.0,22881.0,22209.0,17032.0,14867.999999999998,25496.0,30641.0,27716.19882036572,26855.0,25077.0,28251.0,23340.0,24853.0,23233.0,23321.0,29456.0,31169.0,34183.0,49140.0,25227.0,30085.0,26792.0
95,1200,Trojan Hall (Non-Aux),TRO,26084.706896792446,26501.404008073896,24835.506625579143,28051.220593008085,25870.533627851244,21397.468389887952,25226.0,32895.86183187549,36935.036624350214,33980.1656707809,33440.81069217741,29524.732811205507,30240.035671370933,24850.836371681136,25347.21301385631,31432.508129530666,23850.000228481007,19531.741711041726,24544.807579427124,26036.036507081684,37442.6545753606,34101.04241444347,30449.64706952271,25954.153450596466,23341.517635588618,29003.0,22268.0,20392.0,24913.0,24147.0,22983.999999999996,22191.000000000004,22202.0,19457.378313432346,15965.0,13618.0,13829.0,11886.0,11780.0,12128.0,12240.0,14015.0,15233.0,15933.0,16330.0,14093.0,13693.0,12602.0
96,1201,Trojan Hall ,TRO1,2898.30817757424,2944.578365254221,2759.4934162341997,3116.7949589432933,2874.474120458944,2377.510174506801,2803.0,3655.082304055415,4103.879620443965,3775.5874256405596,3715.6595997177933,3280.539331422912,3359.9775917946668,2761.2171912661925,2816.330521130573,3492.481091495071,2649.980582124233,2170.1751427265926,2727.2008421585697,2893.0,4160.31338509931,3789.0307238625705,3383.3070631743735,2883.820539453463,2593.5208232629525,3223.0,2474.0,2266.0,2768.0,2683.0,2871.0,2466.0,2467.0,2164.1856834433365,1774.0,1513.0,1537.0,1321.0,1309.0,1348.0,1360.0,1557.0,1693.0,1770.0,1814.0,1566.0,1521.0,1400.0
97,1210,Pretroleum & Chemical Engineering,PCE,39570.324337503625,39139.3173486468,38594.03893918516,39450.99495533899,43383.98870728146,39508.476417315855,40629.0,41354.97937456573,42389.850394658206,43842.709539421136,44854.34754337002,37325.51812076446,37178.52646529085,35918.07323280476,33740.01976941571,47887.00878025369,40273.97686314241,38997.91938496835,39207.979202692724,46590.91330605896,48946.94186490777,49234.0479033273,46065.58702863688,45621.5098608614,42417.072961303405,45280.0,40375.0,35141.0,37756.0,39244.0,38266.0,38925.0,46433.0,41469.39923480638,40511.0,34630.0,39683.0,35835.0,40343.0,38455.0,38689.0,41943.0,43068.0,45716.0,50948.0,38128.0,46113.0,44299.0
